episode 555 completed, total reward = -150
episode 556 completed, total reward = 425
episode 557 completed, total reward = 360
episode 558 completed, total reward = 380
episode 559 completed, total reward = -150
episode 560 completed, total reward = 390
episode 561 completed, total reward = -150
episode 562 completed, total reward = -150
episode 563 completed, total reward = 430
episode 564 completed, total reward = -150
episode 565 completed, total reward = 430
episode 566 completed, total reward = -150
episode 567 completed, total reward = 370
episode 568 completed, total reward = 435
episode 569 completed, total reward = -150
episode 570 completed, total reward = 445
episode 571 completed, total reward = 450
episode 572 completed, total reward = 415
episode 573 completed, total reward = 400
episode 574 completed, total reward = -150
episode 575 completed, total reward = -150
episode 576 completed, total reward = 390
episode 577 completed, total reward = 445
episode 578 completed, total reward = -150
episode 579 completed, total reward = 395
episode 580 completed, total reward = -150
episode 581 completed, total reward = 420
episode 582 completed, total reward = 355
episode 583 completed, total reward = 370
episode 584 completed, total reward = 440
episode 585 completed, total reward = -150
episode 586 completed, total reward = -150
episode 587 completed, total reward = 450
episode 588 completed, total reward = 425
episode 589 completed, total reward = 370
episode 590 completed, total reward = -150
episode 591 completed, total reward = 430
episode 592 completed, total reward = -150
episode 593 completed, total reward = 430
episode 594 completed, total reward = 445
episode 595 completed, total reward = 375
episode 596 completed, total reward = 410
episode 597 completed, total reward = 425
episode 598 completed, total reward = 395
episode 599 completed, total reward = 415
episode 600 completed, total reward = 445
episode 601 completed, total reward = 375
episode 602 completed, total reward = -150
episode 603 completed, total reward = -150
episode 604 completed, total reward = -150
episode 605 completed, total reward = 415
episode 606 completed, total reward = 440
episode 607 completed, total reward = 405
episode 608 completed, total reward = 435
episode 609 completed, total reward = 410
episode 610 completed, total reward = 360
episode 611 completed, total reward = 450
episode 612 completed, total reward = 375
episode 613 completed, total reward = -150
episode 614 completed, total reward = -150
episode 615 completed, total reward = 365
episode 616 completed, total reward = -150
episode 617 completed, total reward = -150
episode 618 completed, total reward = 400
episode 619 completed, total reward = -150
episode 620 completed, total reward = 430
episode 621 completed, total reward = -150
episode 622 completed, total reward = -150
episode 623 completed, total reward = -150
episode 624 completed, total reward = -150
episode 625 completed, total reward = 380
episode 626 completed, total reward = 430
episode 627 completed, total reward = 435
episode 628 completed, total reward = 375
episode 629 completed, total reward = -150
episode 630 completed, total reward = 440
episode 631 completed, total reward = 370
episode 632 completed, total reward = 400
episode 633 completed, total reward = 460
episode 634 completed, total reward = 440
episode 635 completed, total reward = 425
episode 636 completed, total reward = 380
episode 637 completed, total reward = 455
episode 638 completed, total reward = -150
episode 639 completed, total reward = 440
episode 640 completed, total reward = 435
episode 641 completed, total reward = -150
episode 642 completed, total reward = 440
episode 643 completed, total reward = 435
episode 644 completed, total reward = 365
episode 645 completed, total reward = 395
episode 646 completed, total reward = 355
episode 647 completed, total reward = 370
episode 648 completed, total reward = 375
episode 649 completed, total reward = 415
episode 650 completed, total reward = 395
episode 651 completed, total reward = 375
episode 652 completed, total reward = 390
episode 653 completed, total reward = 430
episode 654 completed, total reward = -150
episode 655 completed, total reward = 370
episode 656 completed, total reward = -150
episode 657 completed, total reward = 435
episode 658 completed, total reward = 395
episode 659 completed, total reward = 415
episode 660 completed, total reward = 390
episode 661 completed, total reward = 420
episode 662 completed, total reward = 395
episode 663 completed, total reward = 425
episode 664 completed, total reward = 465
episode 665 completed, total reward = 445
episode 666 completed, total reward = 415
episode 667 completed, total reward = -150
episode 668 completed, total reward = 400
episode 669 completed, total reward = 365
episode 670 completed, total reward = -150
episode 671 completed, total reward = 415
episode 672 completed, total reward = 390
episode 673 completed, total reward = -150
episode 674 completed, total reward = 405
episode 675 completed, total reward = -150
episode 676 completed, total reward = 415
episode 677 completed, total reward = 400
episode 678 completed, total reward = 375
episode 679 completed, total reward = -150
episode 680 completed, total reward = -150
episode 681 completed, total reward = -150
episode 682 completed, total reward = 395
episode 683 completed, total reward = 430
episode 684 completed, total reward = 410
episode 685 completed, total reward = 445
episode 686 completed, total reward = -150
episode 687 completed, total reward = -150
episode 688 completed, total reward = 440
episode 689 completed, total reward = 365
episode 690 completed, total reward = 375
episode 691 completed, total reward = 370
episode 692 completed, total reward = 430
episode 693 completed, total reward = 420
episode 694 completed, total reward = 440
episode 695 completed, total reward = -150
episode 696 completed, total reward = 420
episode 697 completed, total reward = 430
episode 698 completed, total reward = 405
episode 699 completed, total reward = 440
episode 700 completed, total reward = 455
episode 701 completed, total reward = 430
episode 702 completed, total reward = -150
episode 703 completed, total reward = 445
episode 704 completed, total reward = -150
episode 705 completed, total reward = 360
episode 706 completed, total reward = 435
episode 707 completed, total reward = -150
episode 708 completed, total reward = 435
episode 709 completed, total reward = 425
episode 710 completed, total reward = 445
episode 711 completed, total reward = -150
episode 712 completed, total reward = 405
episode 713 completed, total reward = 435
episode 714 completed, total reward = 455
episode 715 completed, total reward = 435
episode 716 completed, total reward = 385
episode 717 completed, total reward = 430
episode 718 completed, total reward = 405
episode 719 completed, total reward = 415
episode 720 completed, total reward = 415
episode 721 completed, total reward = 390
episode 722 completed, total reward = 450
episode 723 completed, total reward = -150
episode 724 completed, total reward = 415
episode 725 completed, total reward = -150
episode 726 completed, total reward = 370
episode 727 completed, total reward = 415
episode 728 completed, total reward = 420
episode 729 completed, total reward = 425
episode 730 completed, total reward = 400
episode 731 completed, total reward = -150
episode 732 completed, total reward = 465
episode 733 completed, total reward = 375
episode 734 completed, total reward = -150
episode 735 completed, total reward = -150
episode 736 completed, total reward = 395
episode 737 completed, total reward = 370
episode 738 completed, total reward = 410
episode 739 completed, total reward = 445
episode 740 completed, total reward = 385
episode 741 completed, total reward = 425
episode 742 completed, total reward = 445
episode 743 completed, total reward = 410
episode 744 completed, total reward = 440
episode 745 completed, total reward = 415
episode 746 completed, total reward = 370
episode 747 completed, total reward = 380
episode 748 completed, total reward = 440
episode 749 completed, total reward = 370
episode 750 completed, total reward = 395
episode 751 completed, total reward = -150
episode 752 completed, total reward = 360
episode 753 completed, total reward = 390
episode 754 completed, total reward = 385
episode 755 completed, total reward = 390
episode 756 completed, total reward = 440
episode 757 completed, total reward = -150
episode 758 completed, total reward = -150
episode 759 completed, total reward = -150
episode 760 completed, total reward = 430
episode 761 completed, total reward = 405
episode 762 completed, total reward = 415
